Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C3, C4, C5, C6, C7, C8, C9",0603,21,330nF,C2918485
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D9",0603,13,LED,C84267
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23-3,16,IRLML6244,C5123965
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R3, R4, R5, R6, R7, R8, R9",0603,20,1000,C21190
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U3, U4, U5, U6, U7, U8, U9",SOIC-14_3.9x8.7mm_P1.27mm,21,74HC00,C5586
